FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TA112;Ein Sender mit 1 Watt Ausgangsleistung ist an eine Endstufe mit einer Verstärkung von 10 dB angeschlossen. Wie groß ist der Ausgangspegel der Endstufe?;;;;;40 dBm;;;30 dBm;;;20 dBm;;;10 dBm;;
TA113;Der Ausgangspegel eines Senders beträgt 20 dBW. Dies entspricht einer Ausgangsleistung von;;;;;102 W.;;;100,5 W.;;;1020 W.;;;101 W.;;
TA114;Die Periodendauer von 50 µs entspricht einer Frequenz von;;;;;20 kHz.;;;2 MHz.;;;200 kHz.;;;20 MHz.;;
TA115;Die zweite Harmonische der Frequenz 3,730 MHz befindet sich auf;;;;;7,460 MHz.;;;1,865 MHz.;;;11,190 MHz.;;;14,920 MHz.;;
TA116;Die zweite ungeradzahlige Harmonische der Frequenz 144,690 MHz ist;;;;;434,070 MHz.;;;289,380 MHz.;;;145,000 MHz.;;;723,450 MHz.;;
TA117;Eine Genauigkeit von 1 ppm entspricht;;;;;0,0001 %.;;;0,001 %.;;;0,01 %.;;;0,1 %.;;
TA118;Die digitale Anzeige eines Senders hat eine Anzeigegenauigkeit von 10 ppm. Sie zeigt die Sendefrequenz von 14,25 MHz an. In welchen Grenzen kann sich die tatsächliche Frequenz bewegen?;;;;;Zwischen 14,2498575 und 14,2501425 MHz;;;Zwischen 14,24998575 und 14,25001425 MHz;;;Zwischen 14,249998575 und 14,250001425 MHz;;;Zwischen 14,248575 und 14,251425 MHz;;
TA119;Die Ausbreitungsgeschwindigkeit freier elektromagnetischer Wellen beträgt etwa;;;;;300000 km/s.;;;3000.000 km/s.;;;30000 km/s.;;;3000 km/s.;;
TA120;Welche Frequenz entspricht einer Wellenlänge von 30 mm im Freiraum?;;;;;10 GHz;;;100 MHz;;;1 MHz;;;100 kHz;;
TA121;Eine Wellenlänge von 10 cm im Freiraum entspricht einer Frequenz von;;;;;3 GHz.;;;1,9 GHz.;;;3 MHz.;;;10 GHz.;;
TA122;Welcher Wellenlänge λ entspricht die Frequenz;;;;;λ = 13,64 m;;;λ = 14,33 m;;;λ = 12,93 m;;;λ = 136,3 m;;
TA123;Eine Wellenlänge von 2,06 m entspricht einer Frequenz von;;;;;145,631 MHz.;;;150,247 MHz.;;;148,927 MHz.;;;135,754 MHz.;;
TA124;Eine Wellenlänge von 69 cm entspricht einer Frequenz von;;;;;434,783 MHz.;;;430,162 MHz.;;;435,574 MHz.;;;440,317 MHz.;;
TA125;Der Verkürzungsfaktor ist;;;;;das Verhältnis der Ausbreitungsgeschwindigkeit entlang einer Leitung zur Ausbreitungsgeschwindigkeit im Vakuum.;;;das Verhältnis von Durchmesser zur Länge eines Leiters.;;;das Verhältnis des Wellen- bzw. des Strahlungswiderstandes zum Feldwellenwiderstand des freien Raumes.;;;die Wurzel aus dem Verhältnis von Induktivität zur Kapazität einer Leitung.;;
TB101;Der spezifische Widerstand eines Drahtes entspricht dem Widerstand des Drahtes;;;;;bei einer Länge von 1000 mm und einem Querschnitt von 1 mm².;;;bei einer Länge von 100 mm und einem Querschnitt von 1 mm².;;;bei einer Länge von 1 m und einem Querschnitt von 0,1 mm².;;;bei einer Länge von 100 mm und einem Querschnitt von 0,1 mm².;;
TB102;Welchen Widerstand hat eine Kupferdrahtwicklung, wenn der verwendete Draht eine Länge von 1,8 m und einen Durchmesser von 0,2 mm hat?;;;;;1 Ω;;;56 Ω;;;0,05 Ω;;;5,6 Ω;;
TB103;Zwischen den Enden eines Kupferdrahtes mit einem Querschnitt von 0,5 mm² messen Sie einen Widerstand von 1,5 Ω. Wie lang ist der Draht?;;;;;42,1 m;;;25,3 m;;;4,2 m;;;168,5 m;;
TB104;Der Temperaturkoeffizient für den Widerstand von metallischen Leitern ist;;;;;positiv.;;;negativ.;;;logarithmisch.;;;exponentiell.;;
TB105;Welche Gruppe von Materialien enthält nur Nichtleiter (Isolatoren)?;;;;;Epoxyd, Polyethylen (PE), Polystyrol (PS);;;Pertinax, Polyvinylchlorid (PVC), Graphit;;;Polyethylen (PE), Messing, Konstantan;;;Teflon, Pertinax, Bronze;;
TB106;Was versteht man unter Halbleitermaterialien?;;;;;Einige Stoffe (z.B. Silizium, Germanium) sind in reinem Zustand bei Zimmertemperatur gute Isolatoren. Durch geringfügige Zusätze von geeigneten anderen Stoffen oder bei hohen Temperaturen werden sie jedoch zu Leitern.;;;Einige Stoffe (z.B. Silizium, Germanium) sind in reinem Zustand bei Zimmertemperatur gute Leiter. Durch geringfügige Zusätze von geeigneten anderen Stoffen oder bei hohen Temperaturen nimmt jedoch ihre Leitfähigkeit ab.;;;Einige Stoffe wie z.B. Indium oder Magnesium sind in reinem Zustand gute Isolatoren. Durch geringfügige Zusätze von Silizium, Germanium oder geeigneten anderen Stoffen werden sie jedoch zu Leitern.;;;Einige Stoffe (z.B. Silizium, Germanium) sind in trockenem Zustand gute Elektrolyten. Durch geringfügige Zusätze von Wismut oder Tellur kann man daraus entweder N-leitendes- oder P-leitendes Material für Anoden bzw. Katoden von Halbleiterbauelementen herstellen.;;
TB107;P-leitendes Halbleitermaterial ist gekennzeichnet durch;;;;;bewegliche Elektronenlücken.;;;das Fehlen von Dotierungsatomen.;;;das Fehlen von Atomen im Gitter des Halbleiterkristalls.;;;Überschuss an freien Elektronen.;;
TB108;Was versteht man unter Dotierung zu P-leitendem Halbleitermaterial bei Halbleiterwerkstoffen?;;;;;Zugabe von dreiwertigen Stoffen zum vierwertigen Halbleitergrundstoff;;;Zugabe von fünfwertigen Stoffen zum vierwertigen Halbleitergrundstoff;;;Zugabe von Germaniumatomen zum Siliziumgrundwerkstoff;;;Zugabe von Siliziumatomen zum Germaniumgrundwerkstoff;;
TB109;N-leitendes Halbleitermaterial ist gekennzeichnet durch;;;;;das Vorhandensein frei beweglicher Elektronen.;;;das Fehlen von Dotierungsatomen.;;;das Fehlen von Atomen im Gitter des Halbleiterkristalls.;;;das Vorhandensein beweglicher Elektronenlücken.;;
TB110;Was versteht man unter Dotierung zu N-leitendem Halbleitermaterial bei Halbleiterwerkstoffen?;;;;;Zugabe von fünfwertigen Stoffen zum vierwertigen Halbleitergrundstoff;;;Zugabe von dreiwertigen Stoffen zum vierwertigen Halbleitergrundstoff;;;Zugabe von Germaniumatomen zum Siliziumgrundwerkstoff;;;Zugabe von Siliziumatomen zum Germaniumgrundwerkstoff;;
TB111;Das folgende Bild zeigt den prinzipiellen Aufbau einer Halbleiterdiode. Wie entsteht die Sperrschicht?;tb111_a.jpg;0.7;;;An der Grenzschicht wandern Elektronen aus dem N-Teil in den P-Teil. Dadurch wird auf der N-Seite der Elektronenüberschuss teilweise abgebaut, auf der P-Seite der Elektronenmangel teilweise neutralisiert. Es bildet sich auf beiden Seiten der Grenzfläche eine isolierende Schicht.;;;An der Grenzschicht wandern Elektronen aus dem P-Teil in den N-Teil. Dadurch wird auf der P-Seite der Elektronenüberschuss teilweise abgebaut, auf der N-Seite der Elektronenmangel teilweise neutralisiert. Es bildet sich auf beiden Seiten der Grenzfläche eine isolierende Schicht.;;;An der Grenzschicht wandern Atome aus der Grenzschicht in den N- und P-Teil. Dadurch wird auf beiden Seiten der Atommangel abgebaut. Es bildet sich auf der P-Seite eine leitende Schicht.;;;An der Grenzschicht wandern Atome aus dem N-Teil in den P-Teil. Dadurch wird auf der N-Seite der Atommangel abgebaut, auf der P-Seite der Atommangel vergrößert. Es bildet sich auf der N-Seite eine leitende Schicht.;;
TB112;In einer Halbleiterdiode erweitert sich die Verarmungszone,;tb112_a.jpg;0.7;;;wenn man an die Katode (N-Gebiet) eine positive und an die Anode (P-Gebiet) eine negative Spannung anlegt.;;;wenn man an die Katode (P-Gebiet) eine positive und an die Anode (N-Gebiet) eine negative Spannung anlegt.;;;wenn man an die Katode (P-Gebiet) eine negative und an die Anode (N-Gebiet) eine positive Spannung anlegt.;;;wenn man an die Katode (N-Gebiet) eine negative und an die Anode (P-Gebiet) eine positive Spannung anlegt.;;
TB201;Ein Sonnenkollektor besteht aus vier parallel geschalteten Reihen von je 30 Solarzellen mit je Zelle 0,6 V Leerlaufspannung und 1 A Kurzschlussstrom. Welche Leerlaufspannung und welchen Kurzschlussstrom liefert der Kollektor? In welcher Zeile sind beide Werte richtig angegeben?;tb201_a.jpg;0.7;;;Leerlaufspannung: 18 V, Kurzschlussstrom: 4 A;;;Leerlaufspannung: 18 V, Kurzschlussstrom: 30 A;;;Leerlaufspannung: 2,4 V, Kurzschlussstrom: 4 A;;;Leerlaufspannung: 2,4 V, Kurzschlussstrom: 30 A;;
TB202;Die Leerlaufspannung einer Gleichspannungsquelle beträgt 13,5 V. Wenn die Spannungsquelle einen Strom von 0,9 A abgibt, sinkt die Klemmenspannung auf 12,4 V. Wie groß ist der Innenwiderstand der Spannungsquelle?;;;;;1,22 Ω;;;0,82 Ω;;;12,15 Ω;;;1,1 Ω;;
TB203;Die Leerlaufspannung einer Gleichspannungsquelle beträgt 13,5 V. Wenn die Spannungsquelle einen Strom von 2 A abgibt, sinkt die Klemmenspannung auf 13 V. Wie groß ist der Innenwiderstand der Spannungsquelle?;;;;;0,25 Ω;;;6,75 Ω;;;13 Ω;;;0,5 Ω;;
TB204;Die Leerlaufspannung einer Gleichspannungsquelle beträgt 13,5 V. Wenn die Spannungsquelle einen Strom von 1 A abgibt, sinkt die Klemmenspannung auf 12,5 V. Wie groß ist der Wirkungsgrad?;;;;;92,6 %;;;100 %;;;7,5 %;;;13,5 %;;
TB205;Die Leerlaufspannung einer Gleichspannungsquelle beträgt 13,5 V. Wenn die Spannungsquelle einen Strom von 2 A abgibt, sinkt die Klemmenspannung auf 13 V. Wie groß ist der Wirkungsgrad?;;;;;96,3 %;;;100 %;;;3,7 %;;;27 %;;
TB206;Die Leerlaufspannung einer Spannungsquelle beträgt 5,0 V. Schließt man einen Belastungswiderstand mit 1,2 Ω an, so geht die Klemmenspannung der Spannungsquelle auf 4,8 V zurück. Wie hoch ist der Innenwiderstand der Spannungsquelle?;;;;;0,05 Ω;;;8,2 Ω;;;0,2 Ω;;;0,25 Ω;;
TB207;In welchem Zusammenhang müssen Innenwiderstand Rᵢ und Lastwiderstand Rₗ stehen, damit Leistungsanpassung vorliegt?;;;;;Rₗ = Rᵢ;;;Rₗ » Rᵢ;;;Rₗ « Rᵢ;;;Rₗ = 1/Rᵢ;;
TB208;In welchem Zusammenhang müssen Innenwiderstand Rᵢ und Lastwiderstand Rₗ stehen, damit Stromanpassung vorliegt?;;;;;Rₗ « Rᵢ;;;Rₗ » Rᵢ;;;Rₗ = Rᵢ;;;Rₗ = 1/Rᵢ;;
TB209;In welchem Zusammenhang müssen Innenwiderstand Rᵢ und Lastwiderstand Rₗ stehen, damit Spannungsanpassung vorliegt?;;;;;Rₗ » Rᵢ;;;Rₗ « Rᵢ;;;Rₗ = Rᵢ;;;Rₗ = 1/Rᵢ;;
TB210;Welche Eigenschaften sollten Strom- und Spannungsquellen aufweisen?;;;;;Spannungsquellen sollten einen möglichst niedrigen Innenwiderstand und Stromquellen einen möglichst hohen Innenwiderstand haben.;;;Strom- und Spannungsquellen sollten einen möglichst niedrigen Innenwiderstand haben.;;;Strom- und Spannungsquellen sollten einen möglichst hohen Innenwiderstand haben.;;;Spannungsquellen sollten einen möglichst hohen Innenwiderstand und Stromquellen einen möglichst niedrigen Innenwiderstand haben.;;
TB301;An den Metallbelägen eines Wickelkondensators mit 0,15 mm starkem Kunststoff-Dielektrikum liegt eine Spannung von 300 V. Wie hoch ist die elektrische Feldstärke zwischen den Metallbelägen?;tb301_a.jpg;0.7;;;2000 kV/m;;;200 V/m;;;2000 V/m;;;200 kV/m;;
TB302;Eine Blockbatterie hat eine Klemmenspannung von 9 V (EMK). Wie groß ist die elektrische Feldstärke zwischen den beiden Polen der Batterie bei einem Polabstand von 0,6 cm?;;;;;Zirka 1500 V/m;;;Zirka 150 V/m;;;Zirka 15 V/m;;;Zirka 5,4 V/m;;
TB303;Die elektrische Feldstärke um einen einzelnen Leiter ist proportional;;;;;zur Spannung am Leiter.;;;zum Strom durch den Leiter.;;;zum Querschnitt des Leiters.;;;zur Länge des Leiters.;;
TB304;Ein HF-Abklatschkondensator am Anodenkreis einer Senderendstufe hat eine 0,15 mm starke PTFE-Folie als Dielektrikum. Die Durchschlagsfestigkeit von PTFE beträgt ca. 400 kV/cm. Wie groß wäre die maximale Spannung, die an den Kondensator angelegt werden kann, ohne dass die Folie durchschlagen wird?;;;;;6 kV;;;60 kV;;;600 V;;;2,6 kV;;
TB305;Wie nennt man das Feld zwischen zwei parallelen Kondensatorplatten bei Anschluss einer Gleichspannung?;tb305_a.jpg;0.7;;;Homogenes elektrisches Feld;;;Homogenes magnetisches Feld;;;Polarisiertes elektrisches Feld;;;Polarisiertes magnetisches Feld;;
TB306;Wie werden die mit X gekennzeichneten Feldlinien einer Vertikalantenne bezeichnet?;tb306_a.jpg;0.7;;;Elektrische Feldlinien;;;Magnetische Feldlinien;;;Polarisierte Feldlinien;;;Horizontale Feldlinien;;
TB401;Ein Ringkern hat einen mittleren Durchmesser von 2,6 cm und trägt 6 Windungen Kupferdraht. Wie groß ist die mittlere magnetische Feldstärke im Ringkern, wenn der Strom 2,5 A beträgt?;tb401_a.jpg;0.7;;;184 A/m;;;1,8 A/m;;;577 A/m;;;5,8 A/m;;
TB402;Eine Spule ohne Eisenkern erzeugt eine Feldstärke von 200 A/m. Wie groß ist die magnetische Flussdichte?;;;;;0,25 mT;;;2,5 mT;;;2,5 T;;;0,25 T;;
TB403;Welcher Effekt verringert die Induktivität einer von hochfrequentem Strom durchflossenen Spule beim Einführen eines Kupfer- oder Aluminiumkerns?;;;;;Das hochfrequente Magnetfeld kann nicht in den Kern eindringen, was den Querschnitt des Feldes verringert.;;;Kupfer und Aluminium sind diamagnetisch und schwächen das Feld ab.;;;Das leitfähige Metall schließt das Feld kurz.;;;Kupfer und Aluminium sind unmagnetisch und haben keinen Einfluss auf das Feld.;;
TB404;Dauermagnete finden Anwendung in;;;;;Drehspulmesswerken.;;;Dreheisenmesswerken.;;;Transformatorenkernen.;;;Spulenkernen.;;
TB405;Wie nennt man das Feld im Innern einer langen Zylinderspule beim Fließen eines Gleichstroms?;tb405_a.jpg;0.7;;;Homogenes magnetisches Feld;;;Homogenes elektrisches Feld;;;Konzentrisches magnetisches Feld;;;Zentriertes magnetisches Feld;;
TB406;Wenn Strom durch einen gestreckten Leiter fließt, entsteht ein;;;;;Magnetfeld aus konzentrischen Kreisen um den Leiter.;;;elektrisches Feld aus konzentrischen Kreisen um den Leiter.;;;homogenes Magnetfeld um den Leiter.;;;homogenes elektrisches Feld um den Leiter.;;
TB407;Wie werden die mit X gekennzeichneten Feldlinien einer Vertikalantenne bezeichnet?;tb407_a.jpg;0.7;;;Magnetische Feldlinien;;;Elektrische Feldlinien;;;Radiale Feldlinien;;;Vertikale Feldlinien;;
TB408;Welches sind die richtigen Einheiten der elektrischen und der magnetischen Feldstärke?;;;;;Elektrische Feldstärke: Volt pro Meter, Magnetische Feldstärke: Ampere pro Meter;;;Elektrische Feldstärke: Ampere pro Meter, Magnetische Feldstärke: Volt pro Meter;;;Elektrische Feldstärke: Volt mal Meter, Magnetische Feldstärke: Ampere mal Meter;;;Elektrische Feldstärke: Ampere mal Meter, Magnetische Feldstärke: Volt mal Meter;;
TB501;Wodurch entsteht ein elektromagnetisches Feld und woraus besteht es?;;;;;Ein elektromagnetisches Feld entsteht, wenn durch einen elektrischen Leiter ein zeitlich schnell veränderlicher Strom fließt. Es besteht aus der elektrischen und aus der magnetischen Feldkomponente (E-Feld und H-Feld).;;;Ein elektromagnetisches Feld entsteht, wenn durch einen elektrischen Leiter ein konstanter Strom fließt. Es besteht aus dem magnetischen Feld (H-Feld), das wiederum ein elektrisches Feld (E-Feld) induziert.;;;Ein elektromagnetisches Feld entsteht, wenn sich elektrische Ladungen in einem Leiter befinden. Es besteht aus dem elektrischen Feld (E-Feld), das wiederum ein magnetisches Feld (H-Feld) induziert.;;;Ein elektromagnetisches Feld entsteht, wenn an einem elektrischen Leiter eine konstante Spannung angelegt wird. Es besteht aus dem elektrischen Feld (E-Feld), das wiederum ein magnetisches Feld (H-Feld) induziert.;;
TB502;Wie erfolgt die Ausbreitung einer elektromagnetischen Welle? (Im folgenden Text ist H-Feld die magnetische Feldkomponente und E-Feld die elektrische Feldkomponente.);;;;;Sie erfolgt durch eine sich ausbreitende Wechselwirkung zwischen E-Feld und H-Feld.;;;Die Ausbreitung erfolgt nur über das E-Feld. Das H-Feld ist nur im Nahfeld vorhanden.;;;Die Ausbreitung erfolgt nur über das H-Feld. Das E-Feld ist nur im Nahfeld vorhanden.;;;E-Feld und H-Feld breiten sich unabhängig voneinander aus und stehen senkrecht zueinander und zur Ausbreitungsrichtung.;;
TB503;Die Polarisation einer elektromagnetischen Welle wird durch;;;;;die Richtung des elektrischen Feldes (Vektor des E-Feldes) angegeben.;;;die Richtung des magnetischen Feldes (Vektor des H-Feldes) angegeben.;;;die Richtung der Ausbreitung (S-Vektor Poyntingscher Vektor) angegeben.;;;die Leistungsflussdichte im Speisepunkt der Antenne bestimmt.;;
TB504;Das folgende Bild zeigt die Feldlinien eines elektromagnetischen Feldes. Welche Polarisation hat die skizzierte Wellenfront?;tb504_a.jpg;0.7;;;Horizontale Polarisation;;;Vertikale Polarisation;;;Rechtsdrehende Polarisation;;;Zirkulare Polarisation;;
TB505;Die Polarisation einer elektromagnetischen Welle wird definiert durch;;;;;die Richtung des elektrischen Feldes (E-Vektor).;;;die Richtung des magnetischen Feldes (H-Vektor).;;;die Richtung der Ausbreitung (S-Vektor Poyntingscher Vektor).;;;die räumliche Anordnung der Empfangsantenne.;;
TB506;Der Winkel zwischen den E- und HFeldkomponenten eines elektromagnetischen Feldes beträgt im Fernfeld;;;;;90°.;;;45°.;;;180°.;;;360°.;;
TB507;Die Polarisation des Sendesignals in der Hauptstrahlrichtung dieser Richtantenne ist;tb507_a.jpg;0.7;;;vertikal.;;;horizontal.;;;elliptisch.;;;linksdrehend.;;
TB508;Welche Aussage trifft auf die elektromagnetische Ausstrahlung im ungestörten Fernfeld zu?;;;;;Die E-Feldkomponente, die H-Feldkomponente und die Ausbreitungsrichtung befinden sich alle in einem rechten Winkel zueinander.;;;Die E-Feldkomponente und die HFeldkomponente befinden sich in einem Winkel von 180° zueinander. Die Ausbreitungsrichtung verläuft dazu in einem Winkel von 90°.;;;Die E-Feldkomponente und die HFeldkomponente sind phasengleich und befinden sich in einem Winkel von 0° zueinander. Die Ausbreitungsrichtung verläuft dazu in einem Winkel von 90°.;;;Die Ausbreitungsrichtung befindet sich in einem Winkel von 180° zur E-Feldkomponente und verläuft parallel zur H-Feldkomponente.;;
TB509;Durch welche Größe sind elektrische und magnetische Komponenten eines elektromagnetischen Feldes im Fernfeld miteinander verknüpft?;;;;;Durch den Feldwellenwiderstand des Freiraums;;;Durch die Maxwell-Gleichungen;;;Durch die Ausbreitung in der Ionosphäre;;;Durch die Polarisationsrichtung der Antenne;;
TB510;Eine vertikale Dipolantenne wird mit 10 W Senderleistung direkt gespeist. Welche elektrische Feldstärke ergibt sich bei Freiraumausbreitung in 10 m Entfernung?;;;;;2,2 V/m;;;8,9 V/m;;;0,4 V/m;;;5,5 V/m;;
TB511;Eine Yagiantenne mit 12,15 dBi Antennengewinn wird mit 250 W Senderleistung direkt gespeist. Welche elektrische Feldstärke ergibt sich bei Freiraumausbreitung in 30 m Entfernung?;;;;;11,8 V/m;;;9,2 V/m;;;15,1 V/m;;;353 V/m;;
TB512;Welche elektrische Feldstärke E herrscht in der Mitte der dargestellten, symmetrisch aufgebauten Messzelle, wenn der angeschlossene Sender 1 Watt Ausgangsleistung liefert?;tb512_a.jpg;1.1;;;28,3 V/m;;;200 V/m;;;14,1 V/m;;;176,8 V/m;;
TB601;Welche der im folgenden Diagramm eingezeichneten Gleichspannungen (U₁ ... U₆) setzen an einem Wirkwiderstand die gleiche Leistung um wie die dargestellte sinusförmige Wechselspannung?;tb601_a.jpg;0.7;;;U₂ oder U₅;;;U₁ oder U₆;;;U₃ oder U₄;;;nur U₂;;
TB602;Wie groß ist der Spitzen-Spitzen-Wert (Uₛₛ) der in der Abbildung dargestellten Spannung?;tb602_a.jpg;0.9;;;40 Volt;;;20 Volt;;;10 Volt;;;4 Volt;;
TB603;Wie groß ist der Spitzen-Spitzen-Wert der in diesem Schirmbild dargestellten Spannung?;tb603_a.jpg;0.9;;;12 Volt;;;6 Volt;;;8,5 Volt;;;2 Volt;;
TB604;Welche Frequenz hat die in diesem Oszillogramm dargestellte Spannung?;tb604_a.jpg;0.9;;;83,3 KHz;;;833,3 KHz;;;8,3 MHz;;;83,3 MHz;;
TB605;Welche Frequenz hat das in diesem Schirmbild dargestellte Signal?;tb605_a.jpg;0.9;;;8,33 MHz;;;16,7 MHz;;;8,33 KHz;;;833 KHz;;
TB606;Welche Frequenz hat die in diesem Oszillogramm dargestellte Spannung?;tb606_a.jpg;0.9;;;50 Hz;;;100 Hz;;;500 Hz;;;1000 Hz;;
TB607;Ein sinusförmiges Signal hat einen Effektivwert von 12 V. Wie groß ist der Spitzen-Spitzen-Wert?;;;;;33,9 V;;;24 V;;;16,97 V;;;36,4 V;;
TB608;Der Spitzenwert der häuslichen 230V-Stromversorgung beträgt;;;;;325 Volt.;;;163 Volt.;;;460 Volt.;;;650 Volt.;;
TB609;Der Spitzen-Spitzen-Wert der häuslichen 230-V-Stromversorgung ist;;;;;650 Volt.;;;163 Volt.;;;325 Volt.;;;460 Volt.;;
TB610;Ein sinusförmiger Wechselstrom mit einer Amplitude (Imax) von 0,5 Ampere fließt durch einen Widerstand von 20 Ω. Wie hoch ist die aufgenommene Leistung?;;;;;2,5 Watt;;;5 Watt;;;10 Watt;;;0,5 Watt;;
TB611;Welche Antwort enthält die richtigen Phasenwinkel einer sinusförmigen Wechselspannung an der mit X3 bezeichneten Stelle?;tb611_a.jpg;1.0;;;3π/2: 270°;;;π/3: 270°;;;3π: 180°;;;3π/4: 185°;;
TB612;Die Phasendifferenz zwischen den beiden in der Abbildung dargestellten Sinussignalen beträgt;tb612_a.jpg;1.0;;;45°.;;;0°.;;;90°.;;;180°.;;
TB701;Ein symmetrisches Rechtecksignal hat eine Grundfrequenz von 1500 Hz. Welche Frequenzen sind in diesem Signal enthalten?;tb701_a.jpg;1.0;;;1500 Hz, 4500 Hz, 7500 Hz und höher;;;1500 Hz, 3000 Hz, 4500 Hz und höher;;;1500 Hz, 2250 Hz, 3000 Hz und höher;;;1500 Hz, 3000 Hz, 6000 Hz und höher;;
TB702;Die Impulsdauer beträgt hier;tb702_a.jpg;1.0;;;0,2 ms.;;;260 µs.;;;230 µs.;;;150 µs.;;
TB703;Was sind Harmonische?;;;;;Harmonische sind die ganzzahligen (1, 2, 3 ...) Vielfachen einer Frequenz.;;;Harmonische sind die ganzzahligen (1, 2, 3 ...) Teile einer Frequenz.;;;Harmonische sind die erzeugten Frequenzen oberhalb der ursprünglichen Frequenz.;;;Harmonische sind identisch mit den Oberwellen, wobei die Grundwelle keine Harmonische ist.;;
TB704;Die dritte Oberwelle einer Frequenz ist;;;;;die vierte Harmonische der Frequenz.;;;die dritte Harmonische der Frequenz.;;;die zweite Harmonische der Frequenz.;;;die zweite ungeradzahlige Harmonische der Frequenz.;;
TB705;Welche Schwingungen sind in der folgenden Wechselspannung enthalten, wenn die Grundwelle 2 kHz beträgt?;tb705_a.jpg;1.0;;;2 KHz und 4 KHz;;;4 KHz und 6 KHz;;;4 KHz allein;;;2 KHz und 6 KHz;;
TB706;Welche Schwingungen sind in der folgenden Wechselspannung enthalten, wenn die Grundwelle 2 KHz beträgt?;tb706_a.jpg;1.0;;;2 KHz und 6 KHz;;;4 KHz und 6 KHz;;;2 KHz und 4 KHz;;;4 KHz allein;;
TB707;Die Leistung eines gleichmäßig über einen Frequenzbereich verteilten Rauschens ist;;;;;proportional zur Bandbreite.;;;umgekehrt proportional zur Empfängerempfindlichkeit.;;;proportional zum Signal-Rauschabstand.;;;umgekehrt proportional zum Eingangswiderstand.;;
TB708;Wie verhält sich der Pegel des thermischen Rauschens am Empfängerausgang, wenn von einem Quarzfilter mit einer Bandbreite von 2,5 KHz auf ein Quarzfilter mit einer Bandbreite von 0,5 kHz mit gleicher Durchlassdämpfung und Flankensteilheit umgeschaltet wird? Der Rauschpegel;;;;;verringert sich um etwa 7 dB.;;;erhöht sich um etwa 7 dB.;;;verringert sich um etwa 20 dB.;;;erhöht sich um etwa 20 dB.;;
TB801;Wie groß ist die HF-Bandbreite, die für die Übertragung eines SSB-Signals erforderlich ist?;;;;;Sie entspricht der Differenz zwischen der höchsten und der niedrigsten Frequenz des NFSignals.;;;Sie entspricht der Hälfte der Bandbreite des NF-Signals.;;;Sie entspricht der doppelten Bandbreite des NF-Signals.;;;Sie ist Null, weil bei SSB-Modulation der HFTräger unterdrückt wird.;;
TB802;Ein Träger von 7,05 MHz wird mit der NF-Frequenz von 2 kHz in SSB (LSB) moduliert. Welche Frequenzen treten im modulierten HF-Signal auf?;;;;;7,048 MHz;;;7,050 MHz;;;7,052 MHz;;;7,048 MHz und 7,052 MHz;;
